,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_34.0,C_35.0,C_35.5,C_36.0,C_1000000.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5
25,TAP,Long Strangle,89.84,1055.0,4697.056604186939,893.3180238494845,54.36,45.6,0.10056888767659879,-28.0,85.0,-35.0,18.0,-3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
26,TAP,Long Strangle,112.88,1375.0,5815.070755233674,1159.4240317993126,54.36,45.6,0.09735868578195786,-51.00000000000003,109.0,-45.0,23.0,-4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
23,TAP,Long Strangle,108.25,1725.0,6555.070755233677,1225.0,54.36,45.6,0.08836734693877552,-80.0,115.0,-50.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
21,TAP,Long Strangle,64.95,1035.0,3933.042453140206,735.0,54.36,45.6,0.08836734693877552,-48.0,69.0,-30.000000000000004,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
22,TAP,Long Strangle,86.6,1380.0,5244.0566041869415,980.0,54.36,45.6,0.0883673469387755,-64.0,92.0,-40.0,20.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
20,TAP,Long Strangle,43.3,690.0,2622.0283020934708,490.0,54.36,45.6,0.0883673469387755,-32.0,46.0,-20.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
19,TAP,Long Strangle,21.65,345.0,1311.0141510467354,245.0,54.36,45.6,0.0883673469387755,-16.0,23.0,-10.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,TAP,Long Strangle,62.77,1825.0,6455.070755233677,971.1060079498282,54.36,45.6,0.06463763944012485,-80.0,103.0,-45.0,22.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
0,TAP,Short Call Butterfly,8.94,-75.0,2251.02830209347,363.31802384948446,71.29,28.67,0.02460654141316057,-4.999999999999982,24.0,-4.999999999999999,1.0000000000000009,-3.0,-3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,TAP,Short Call Butterfly,8.94,-75.0,2251.02830209347,363.31802384948446,71.29,28.67,0.02460654141316057,-4.999999999999982,24.0,-4.999999999999999,1.0000000000000009,-3.0,-3.0,0.0,0.0,5.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
1,TAP,Short Iron Butterfly,20.24,445.00000000000006,2431.0283020934694,433.3180238494845,71.29,28.67,0.04670934252905778,25.000000000000014,28.999999999999996,-10.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,-3.0,0.0,3.0,0.0,0.0,0.0
6,TAP,Short Iron Butterfly,20.24,445.00000000000006,2431.0283020934694,433.3180238494845,71.29,28.67,0.04670934252905778,25.000000000000014,28.999999999999996,-10.0,6.0,0.0,0.0,0.0,2.0,0.0,-2.0,-3.0,0.0,3.0,0.0,0.0,0.0
4,TAP,Short Iron Butterfly,26.83,710.0,3604.042453140204,690.5300397491408,71.29,28.67,0.03885421119368961,28.00000000000003,43.99999999999999,-15.000000000000002,9.0,0.0,0.0,0.0,3.0,0.0,0.0,-5.0,0.0,5.0,0.0,0.0,0.0
9,TAP,Short Iron Butterfly,26.83,710.0,3604.042453140204,690.5300397491408,71.29,28.67,0.03885421119368961,28.00000000000003,43.99999999999999,-15.000000000000002,9.0,0.0,0.0,0.0,3.0,0.0,-3.0,-5.0,0.0,5.0,0.0,0.0,0.0
2,TAP,Short Iron Butterfly,13.17,530.0,2346.0283020934694,514.4240317993126,71.29,28.67,0.02560144780549033,6.000000000000028,30.0,-10.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,-4.0,0.0,4.0,0.0,0.0,0.0
7,TAP,Short Iron Butterfly,13.17,530.0,2346.0283020934694,514.4240317993126,71.29,28.67,0.02560144780549033,6.000000000000028,30.0,-10.0,6.0,0.0,0.0,0.0,2.0,0.0,-2.0,-4.0,0.0,4.0,0.0,0.0,0.0
0,TAP,Short Iron Butterfly,6.58,265.0,1173.0141510467347,257.2120158996563,71.29,28.67,0.02558200858923711,3.000000000000014,15.0,-5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0
5,TAP,Short Iron Butterfly,6.58,265.0,1173.0141510467347,257.2120158996563,71.29,28.67,0.02558200858923711,3.000000000000014,15.0,-5.0,3.0,0.0,0.0,0.0,1.0,0.0,-1.0,-2.0,0.0,2.0,0.0,0.0,0.0
3,TAP,Short Iron Butterfly,6.1,615.0,2261.0283020934694,595.5300397491408,71.29,28.67,0.010242976160479738,-12.999999999999972,30.999999999999993,-10.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,-5.0,0.0,5.0,0.0,0.0,0.0
8,TAP,Short Iron Butterfly,6.1,615.0,2261.0283020934694,595.5300397491408,71.29,28.67,0.010242976160479738,-12.999999999999972,30.999999999999993,-10.0,6.0,0.0,0.0,0.0,2.0,0.0,-2.0,-5.0,0.0,5.0,0.0,0.0,0.0
11,TAP,Short Iron Butterfly,6.21,950.0,4602.056604186939,680.5300397491408,71.29,28.67,0.009125240088283465,19.999999999999986,48.0,-16.0,3.000000000000001,0.0,0.0,0.0,0.0,4.0,0.0,-5.0,0.0,0.0,5.0,0.0,0.0
13,TAP,Short Iron Butterfly,6.21,950.0,4602.056604186939,680.5300397491408,71.29,28.67,0.009125240088283465,19.999999999999986,48.0,-16.0,3.000000000000001,0.0,0.0,0.0,0.0,4.0,-4.0,-5.0,0.0,0.0,5.0,0.0,0.0
10,TAP,Short Iron Butterfly,0.08,745.0,3419.042453140204,529.4240317993126,71.29,28.67,0.00015110760977001775,8.999999999999986,36.0,-12.0,2.0000000000000004,0.0,0.0,0.0,0.0,3.0,0.0,-4.0,0.0,0.0,4.0,0.0,0.0
12,TAP,Short Iron Butterfly,0.08,745.0,3419.042453140204,529.4240317993126,71.29,28.67,0.00015110760977001775,8.999999999999986,36.0,-12.0,2.0000000000000004,0.0,0.0,0.0,0.0,3.0,-3.0,-4.0,0.0,0.0,4.0,0.0,0.0
13,TAP,Short Iron Condor,62.5,725.0,4827.056604186939,705.5300397491408,71.29,28.67,0.08858588079711331,45.00000000000003,52.99999999999999,-16.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,-5.0,0.0,5.0,0.0,0.0,0.0
